"scenario","p","m","n_true","n_ratio","m_ratio","method","n_rep","bias","relative_bias","rmse","posterior_sd","coverage_95","stein_loss","median_runtime","mean_runtime","mean_acceptance_rate"
"p10_m50_n20",10,50,20,2,5,"Collapsed",1000,0.470371001337824,0.0235185500668912,0.65492754511982,0.440058041197879,0.817,0.0603222662715458,0.109999999999673,0.111000000000021,NA
"p10_m50_n20",10,50,20,2,5,"MLE",1000,0.259422073657805,0.0129711036828902,0.517822992153968,NA,NA,0.0585481049452833,0,0.000460000000001855,NA
"p10_m50_n20",10,50,20,2,5,"RWM",1000,0.471572714204889,0.0235786357102445,0.676714455669178,0.435058415034992,0.772,0.0603558122968382,1.01000000000022,1.0335,0.0946811702925731
"p20_m50_n40",20,50,40,2,2.5,"Collapsed",1000,1.00291069491508,0.025072767372877,1.10085931247539,0.453056810203188,0.442,0.112512562291009,0.130000000000109,0.132219999999999,NA
"p20_m50_n40",20,50,40,2,2.5,"MLE",1000,0.531289034501924,0.0132822258625481,0.693159151275858,NA,NA,0.108392496651607,0,0.000489999999997963,NA
"p20_m50_n40",20,50,40,2,2.5,"RWM",1000,1.01292766257286,0.0253231915643216,1.12450926575543,0.441307844346963,0.394,0.112628396775407,1.35000000000036,1.37034999999997,0.0477746936734184
"p30_m50_n60",30,50,60,2,1.66666666666667,"Collapsed",1000,1.33867053503155,0.0223111755838592,1.41140381095794,0.455857822018274,0.212,0.162964182509151,0.149999999999636,0.157670000000016,NA
"p30_m50_n60",30,50,60,2,1.66666666666667,"MLE",1000,0.781452196133155,0.0130242032688859,0.89637068212213,NA,NA,0.158992642952938,0,0.000590000000000146,NA
"p30_m50_n60",30,50,60,2,1.66666666666667,"RWM",1000,1.3307403241631,0.0221790054027183,1.42080293744966,0.43944593639504,0.148,0.163033798242614,2.05499999999984,2.08170999999999,0.0319439859964991
"p3_m50_n12",3,50,12,4,16.6666666666667,"Collapsed",1000,0.385900011651567,0.0321583343042973,1.00728595789149,0.916591500947142,0.927,0.0195775630525816,0.0900000000001455,0.0960800000000036,NA
"p3_m50_n12",3,50,12,4,16.6666666666667,"MLE",1000,0.284967659752487,0.023747304979374,0.964042283725342,NA,NA,0.0190526018141859,0,0.000299999999999272,NA
"p3_m50_n12",3,50,12,4,16.6666666666667,"RWM",1000,0.386485015519133,0.0322070846265944,1.0482659496663,0.909137187033262,0.923,0.0196593940382255,0.829999999999927,0.835680000000011,0.241803950987747
"p5_m50_n20",5,50,20,4,10,"Collapsed",1000,0.618393745997612,0.0309196872998806,1.1784523881127,0.962432401811138,0.891,0.0228239487329827,0.0999999999994543,0.0989699999999966,NA
"p5_m50_n20",5,50,20,4,10,"MLE",1000,0.395380184077277,0.0197690092038638,1.06650947125886,NA,NA,0.021669204951841,0,0.000300000000001091,NA
"p5_m50_n20",5,50,20,4,10,"RWM",1000,0.63768770862809,0.0318843854314045,1.22648677170946,0.952451817792541,0.88,0.0228763180451798,0.8799999999992,0.880000000000013,0.146954738684671
